"","Date","Price","Volume"
"508","2017-05-21",2124.409912,373482496
"509","2017-05-22",2272.580078,251969081
"510","2017-05-23",2445.280029,353734030
"511","2017-05-24",2307.219971,622139030
"512","2017-05-25",2244.889893,441342711
"513","2017-05-26",2052.429932,446034004
"514","2017-05-27",2189.02002,266766116
"515","2017-05-28",2278.209961,204101576
"516","2017-05-29",2192.550049,270069146
"517","2017-05-30",2303.340088,261223035
"518","2017-05-31",2412.649902,290070431
"519","2017-06-01",2492.600098,199765372
"520","2017-06-02",2545.429932,177168595
"521","2017-06-03",2524.060059,149060810
"522","2017-06-04",2704.959961,225611887
"523","2017-06-05",2870.5,538772473
"524","2017-06-06",2691.51001,340329903
"525","2017-06-07",2798.780029,260898606
"526","2017-06-08",2811.429932,189237110
"527","2017-06-09",2900.25,246869682
"528","2017-06-10",2973.449951,241516660
"529","2017-06-11",2656.77002,585158909
"530","2017-06-12",2712.98999,314476276
"531","2017-06-13",2467.27002,448294279
"532","2017-06-14",2442.459961,606264366
"533","2017-06-15",2508.580078,286630757
"534","2017-06-16",2655.100098,246698591
"535","2017-06-17",2539.560059,235239296
"536","2017-06-18",2616.820068,210372750
"537","2017-06-19",2754.379883,300034010
"538","2017-06-20",2677.620117,313234721
"539","2017-06-21",2722.840088,210318780
"540","2017-06-22",2710.370117,155303414
"541","2017-06-23",2590.050049,228007287
"542","2017-06-24",2541.620117,220679135
"543","2017-06-25",2446.050049,401912134
"544","2017-06-26",2583.75,381517099
"545","2017-06-27",2577.73999,279792448
"546","2017-06-28",2558.370117,191733499
"547","2017-06-29",2480.610107,183878856
"548","2017-06-30",2424.610107,160661673
"549","2017-07-01",2536.459961,165839565
"550","2017-07-02",2572.469971,212244951
"551","2017-07-03",2617.320068,210433639
"552","2017-07-04",2627.860107,232257106
"553","2017-07-05",2614.23999,156558009
"554","2017-07-06",2513.879883,229168229
"555","2017-07-07",2564.860107,136973389
"556","2017-07-08",2511.429932,99506518
"557","2017-07-09",2344.02002,297270301
